id,loan_limit,gender,approv_in_adv,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,status,dtir1
84200,CF,MALE,NOPRE,L1,NOPC,NOB/C,286500,3.625,0.1516,286500,360,NOT_NEG,NOT_INT,NOT_LPSM,478000,SB,PR,HOME,7920,EXP,628,CIB,35-44,NOT_INST,59.94,NORTH,0,23
162312,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,426500,3.99,0.3904,426500,180,NOT_NEG,NOT_INT,NOT_LPSM,898000,SB,PR,HOME,8340,CIB,575,CIB,65-74,TO_INST,47.49,NORTH,1,49
65641,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,356500,3.99,0.3904,356500,360,NOT_NEG,NOT_INT,NOT_LPSM,998000,SB,IR,HOME,4740,EXP,890,EXP,65-74,NOT_INST,35.72,SOUTH,1,43
167335,CF,MALE,NOPRE,L1,NOPC,NOB/C,206500,3.99,0.3904,206500,360,NOT_NEG,NOT_INT,LPSM,298000,SB,PR,HOME,8700,CIB,865,CIB,55-64,TO_INST,69.30,NORTH-EAST,1,12
139092,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,236500,3.99,0.3904,236500,360,NOT_NEG,NOT_INT,LPSM,418000,SB,PR,HOME,4080,EQUI,620,EXP,>74,TO_INST,75.15,SOUTH,1,39
98739,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,206500,5.75,1.2517,206500,360,NOT_NEG,NOT_INT,NOT_LPSM,258000,SB,PR,HOME,4740,CIB,803,EXP,35-44,TO_INST,80.04,SOUTH,0,45
113190,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,106500,3.99,0.3904,106500,360,NOT_NEG,NOT_INT,NOT_LPSM,178000,SB,PR,HOME,2640,CIB,618,CIB,65-74,TO_INST,59.83,SOUTH,1,28
140079,CF,UNKNOWN,NOPRE,L1,NOPC,B/C,296500,3.25,0.1632,296500,360,NOT_NEG,NOT_INT,NOT_LPSM,308000,SB,PR,HOME,5760,CIB,771,EXP,35-44,NOT_INST,96.27,NORTH,0,39
134727,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,446500,3.875,0.4419,446500,360,NOT_NEG,NOT_INT,NOT_LPSM,518000,SB,PR,HOME,7920,CIB,570,CIB,45-54,TO_INST,86.20,NORTH-EAST,0,34
97921,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,496500,3.75,0.2289,496500,360,NOT_NEG,NOT_INT,NOT_LPSM,558000,SB,PR,HOME,8400,CIB,730,CIB,35-44,NOT_INST,88.98,NORTH,0,28
171806,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,596500,4.5,0.9959,596500,360,NOT_NEG,NOT_INT,NOT_LPSM,858000,SB,PR,HOME,9300,CRIF,652,CIB,25-34,TO_INST,69.52,NORTH,0,39
155900,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,236500,4.125,0.4594,236500,360,NEG_AMM,NOT_INT,NOT_LPSM,608000,SB,IR,HOME,12780,CIB,620,EXP,>74,NOT_INST,38.90,NORTH,0,43
96575,CF,MALE,NOPRE,L1,NOPC,NOB/C,416500,3,-0.648,416500,324,NOT_NEG,NOT_INT,NOT_LPSM,448000,SB,PR,HOME,5760,CIB,735,CIB,35-44,NOT_INST,92.97,NORTH,0,39
164263,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,486500,3.375,-0.139,486500,360,NOT_NEG,NOT_INT,NOT_LPSM,928000,SB,PR,HOME,5760,CRIF,706,EXP,45-54,NOT_INST,52.42,SOUTH,0,12
47323,CF,MALE,NOPRE,L2,NOPC,NOB/C,136500,4.5,0.5739,136500,360,NOT_NEG,NOT_INT,NOT_LPSM,228000,SB,PR,HOME,3900,CRIF,783,CIB,45-54,NOT_INST,59.87,NORTH,0,31
56727,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,366500,3.625,0.0446,366500,360,NOT_NEG,NOT_INT,NOT_LPSM,488000,SB,PR,HOME,9600,CRIF,857,EXP,35-44,NOT_INST,75.10,SOUTH,0,27
141717,CF,MALE,NOPRE,L1,NOPC,NOB/C,336500,3.375,-0.2869,336500,360,NOT_NEG,NOT_INT,NOT_LPSM,658000,SB,PR,HOME,3120,CRIF,819,CIB,>74,NOT_INST,51.14,NORTH,0,47
149686,NCF,MALE,PRE,L1,NOPC,NOB/C,1126500,3.99,0.3904,1126500,360,NOT_NEG,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,5760,EQUI,788,EXP,45-54,TO_INST,75.15,SOUTH,1,39
71174,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,186500,3.99,0.3904,186500,360,NOT_NEG,NOT_INT,NOT_LPSM,338000,SB,PR,HOME,1200,CIB,539,CIB,45-54,TO_INST,55.18,NORTH,1,49
166987,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,746500,3.99,0.3845,746500,360,NOT_NEG,NOT_INT,NOT_LPSM,998000,SB,IR,HOME,5760,CIB,814,EXP,45-54,TO_INST,74.80,NORTH,0,10
92620,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,556500,4.75,0.932,556500,360,NOT_NEG,NOT_INT,NOT_LPSM,1188000,SB,PR,HOME,7920,CRIF,582,CIB,65-74,TO_INST,46.84,SOUTH,0,42
160433,CF,MALE,NOPRE,L1,NOPC,NOB/C,446500,3.625,0.0269,446500,360,NOT_NEG,NOT_INT,NOT_LPSM,738000,SB,PR,HOME,4320,CRIF,501,CIB,35-44,NOT_INST,60.50,SOUTH,0,47
104566,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,186500,3.75,0.5334,186500,360,NOT_NEG,NOT_INT,NOT_LPSM,258000,SB,PR,HOME,4620,EXP,564,CIB,65-74,TO_INST,72.29,NORTH,0,46
163422,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,356500,3.625,-0.0675,356500,360,NOT_NEG,NOT_INT,NOT_LPSM,478000,SB,IR,HOME,4380,CRIF,790,EXP,65-74,NOT_INST,74.58,SOUTH,0,36
159127,NCF,MALE,PRE,L1,NOPC,NOB/C,206500,4.25,0.3729,206500,360,NOT_NEG,NOT_INT,NOT_LPSM,288000,SB,PR,HOME,5040,CIB,535,CIB,35-44,TO_INST,71.70,SOUTH,0,34
80158,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,306500,3.99,0.3727,306500,360,NEG_AMM,NOT_INT,NOT_LPSM,508000,SB,PR,HOME,5580,CRIF,672,CIB,55-64,TO_INST,60.33,SOUTH,0,33
62242,CF,FEMALE,NOPRE,L2,NOPC,NOB/C,416500,3.99,0.3904,416500,300,NOT_NEG,NOT_INT,NOT_LPSM,528000,SB,IR,HOME,5760,CIB,750,CIB,35-44,NOT_INST,78.88,NORTH,1,30
28559,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,336500,2.875,-0.136,336500,180,NEG_AMM,NOT_INT,NOT_LPSM,568000,SB,PR,HOME,13440,CIB,675,EXP,35-44,NOT_INST,59.24,NORTH,0,28
76610,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,416500,4.25,0.6343,416500,264,NOT_NEG,NOT_INT,NOT_LPSM,638000,SB,PR,HOME,5280,EXP,678,CIB,65-74,TO_INST,65.28,SOUTH,0,39
121764,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,366500,3.625,0.2815,366500,360,NEG_AMM,INT_ONLY,NOT_LPSM,608000,SB,IR,HOME,6480,CIB,838,EXP,45-54,NOT_INST,60.28,CENTRAL,0,41
139582,CF,MALE,NOPRE,L1,NOPC,NOB/C,476500,3.99,0.3904,476500,360,NOT_NEG,NOT_INT,NOT_LPSM,538000,SB,IR,HOME,4440,CIB,588,EXP,25-34,TO_INST,88.57,SOUTH,1,57
139548,CF,MALE,NOPRE,L1,NOPC,NOB/C,626500,3.875,0.1559,626500,360,NEG_AMM,NOT_INT,NOT_LPSM,828000,SB,SR,HOME,8820,CRIF,563,CIB,35-44,NOT_INST,75.66,SOUTH,0,34
51455,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,206500,4.5,0.18,206500,360,NOT_NEG,NOT_INT,NOT_LPSM,248000,SB,PR,HOME,8400,CRIF,703,EXP,25-34,NOT_INST,83.27,NORTH,0,20
124922,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,816500,3.99,0.3904,816500,360,NOT_NEG,NOT_INT,NOT_LPSM,1168000,SB,IR,HOME,7500,EXP,690,CIB,55-64,NOT_INST,69.91,NORTH,1,54
76983,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,496500,4.75,0.2553,496500,360,NOT_NEG,NOT_INT,NOT_LPSM,708000,SB,PR,HOME,8460,CRIF,542,CIB,35-44,NOT_INST,70.13,SOUTH,0,47
33560,CF,UNKNOWN,NOPRE,L2,NOPC,NOB/C,556500,3.75,-0.3177,556500,360,NOT_NEG,NOT_INT,NOT_LPSM,588000,SB,PR,HOME,9600,CRIF,857,EXP,35-44,NOT_INST,94.64,NORTH,0,36
92483,CF,MALE,NOPRE,L2,NOPC,NOB/C,606500,4.75,0.3835,606500,360,NOT_NEG,NOT_INT,NOT_LPSM,828000,SB,IR,HOME,7500,CRIF,584,CIB,45-54,NOT_INST,73.25,NORTH,0,49
74546,CF,UNKNOWN,NOPRE,L2,NOPC,B/C,206500,4.375,1.2609,206500,360,NOT_NEG,NOT_INT,NOT_LPSM,208000,SB,PR,HOME,4440,EXP,608,EXP,35-44,TO_INST,99.28,SOUTH,0,30
138675,CF,MALE,NOPRE,L1,NOPC,NOB/C,256500,3.99,0.3904,256500,180,NOT_NEG,NOT_INT,NOT_LPSM,278000,SB,PR,HOME,5220,CRIF,758,CIB,45-54,NOT_INST,92.27,NORTH,1,49
114465,CF,UNKNOWN,NOPRE,L1,NOPC,B/C,216500,3.75,0.8058,216500,360,NOT_NEG,NOT_INT,NOT_LPSM,288000,SB,PR,HOME,3360,EXP,610,CIB,55-64,TO_INST,75.17,SOUTH,0,61
54958,CF,MALE,NOPRE,L1,NOPC,NOB/C,646500,4,0.7768,646500,240,NOT_NEG,NOT_INT,NOT_LPSM,1258000,SB,PR,HOME,9180,CIB,591,CIB,45-54,NOT_INST,51.39,NORTH,0,43
58828,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,356500,3.99,0.0722,356500,360,NOT_NEG,NOT_INT,NOT_LPSM,648000,SB,PR,HOME,5760,EXP,880,EXP,25-34,NOT_INST,55.02,NORTH,0,20
172971,CF,FEMALE,NOPRE,L1,NOPC,B/C,136500,4.375,1.171,136500,360,NOT_NEG,NOT_INT,NOT_LPSM,208000,SB,PR,HOME,3780,CRIF,521,CIB,45-54,TO_INST,65.63,SOUTH,0,33
28702,CF,UNKNOWN,NOPRE,L2,NOPC,NOB/C,666500,4.875,0.5283,666500,360,NOT_NEG,NOT_INT,NOT_LPSM,708000,SB,PR,HOME,10620,CRIF,804,EXP,35-44,NOT_INST,94.14,NORTH,0,36
29081,CF,MALE,NOPRE,L1,NOPC,NOB/C,656500,3.875,0.1939,656500,360,NOT_NEG,NOT_INT,NOT_LPSM,958000,SB,PR,HOME,7320,CRIF,827,CIB,45-54,NOT_INST,68.53,NORTH,0,48
105316,CF,MALE,NOPRE,L1,NOPC,NOB/C,266500,3.75,0.2554,266500,360,NOT_NEG,NOT_INT,NOT_LPSM,278000,SB,PR,HOME,2760,EXP,730,CIB,<25,TO_INST,95.86,SOUTH,0,49
124671,CF,MALE,NOPRE,L1,NOPC,NOB/C,156500,3.99,0.2722,156500,360,NOT_NEG,NOT_INT,NOT_LPSM,268000,SB,PR,HOME,6540,EXP,658,EXP,>74,TO_INST,58.40,NORTH,0,47
125531,CF,MALE,NOPRE,L1,NOPC,B/C,506500,3.625,0.6646,506500,360,NOT_NEG,NOT_INT,NOT_LPSM,658000,SB,PR,HOME,5760,EXP,864,EXP,45-54,TO_INST,76.98,SOUTH,0,39
76025,CF,MALE,NOPRE,L2,NOPC,NOB/C,186500,3.99,0.3904,186500,240,NOT_NEG,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,9000,EQUI,712,EXP,25-34,TO_INST,75.15,NORTH,1,39
79430,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,386500,3.625,-0.023,386500,360,NOT_NEG,INT_ONLY,NOT_LPSM,758000,SB,PR,HOME,5640,EXP,613,EXP,55-64,NOT_INST,50.99,NORTH,0,37
64249,CF,FEMALE,NOPRE,L2,NOPC,NOB/C,606500,4.125,-0.0654,606500,360,NOT_NEG,NOT_INT,NOT_LPSM,868000,SB,PR,HOME,11160,CIB,895,CIB,35-44,NOT_INST,69.87,NORTH,0,32
35745,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,406500,3.25,-0.5196,406500,360,NOT_NEG,NOT_INT,NOT_LPSM,478000,SB,PR,HOME,5760,CIB,626,EXP,55-64,TO_INST,85.04,NORTH,0,39
92942,CF,MALE,NOPRE,L1,NOPC,NOB/C,346500,3.99,0.3904,346500,360,NOT_NEG,INT_ONLY,NOT_LPSM,418000,SB,PR,HOME,8340,EQUI,857,EXP,35-44,NOT_INST,75.15,NORTH,1,39
127501,CF,MALE,NOPRE,L1,NOPC,NOB/C,156500,4.75,0.4825,156500,360,NEG_AMM,NOT_INT,NOT_LPSM,188000,SB,PR,HOME,2460,CIB,893,CIB,>74,TO_INST,83.24,NORTH,0,39
52933,CF,UNKNOWN,NOPRE,L2,NOPC,NOB/C,166500,3.99,0.3904,166500,300,NOT_NEG,NOT_INT,NOT_LPSM,418000,SB,IR,HOME,3060,EQUI,505,EXP,>74,TO_INST,75.15,SOUTH,1,39
77583,CF,MALE,NOPRE,L1,NOPC,B/C,96500,3.875,1.9181,96500,240,NOT_NEG,NOT_INT,NOT_LPSM,118000,SB,PR,HOME,5520,CIB,652,CIB,55-64,TO_INST,81.78,NORTH,0,45
159386,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,486500,3.99,0.3904,486500,360,NEG_AMM,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,5640,EQUI,689,EXP,25-34,NOT_INST,75.15,SOUTH,1,39
106470,NCF,MALE,NOPRE,L1,NOPC,NOB/C,266500,3.99,0.243,266500,324,NEG_AMM,NOT_INT,NOT_LPSM,298000,SB,PR,HOME,6360,EXP,580,CIB,55-64,TO_INST,89.43,NORTH,0,20
30770,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,506500,3.99,0.3904,506500,360,NOT_NEG,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,6600,EQUI,802,EXP,55-64,NOT_INST,75.15,NORTH,1,39
170630,CF,UNKNOWN,NOPRE,L1,NOPC,B/C,206500,3.99,0.3904,206500,360,NOT_NEG,NOT_INT,NOT_LPSM,258000,SB,PR,HOME,3960,CIB,575,EXP,65-74,TO_INST,80.04,SOUTH,1,47
28983,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,346500,3.99,0.3904,346500,360,NOT_NEG,NOT_INT,LPSM,438000,SB,PR,HOME,10500,EXP,801,EXP,35-44,NOT_INST,79.11,SOUTH,1,31
70108,CF,MALE,NOPRE,L1,NOPC,NOB/C,226500,3.75,-0.0724,226500,360,NOT_NEG,NOT_INT,NOT_LPSM,408000,SB,PR,HOME,5700,CIB,650,EXP,45-54,TO_INST,55.51,NORTH,0,40
61768,CF,MALE,PRE,L1,NOPC,NOB/C,206500,4.375,0.6418,206500,240,NOT_NEG,NOT_INT,NOT_LPSM,468000,SB,SR,HOME,7500,EXP,615,CIB,55-64,TO_INST,44.12,NORTH,0,43
43859,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,386500,3.99,0.5455,386500,360,NOT_NEG,NOT_INT,NOT_LPSM,378000,SB,PR,HOME,6420,CIB,509,EXP,35-44,NOT_INST,102.25,NORTH,0,41
169958,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,306500,3.25,-0.365,306500,360,NOT_NEG,NOT_INT,NOT_LPSM,518000,SB,PR,HOME,6780,EXP,649,EXP,45-54,NOT_INST,59.17,SOUTH,0,30
106561,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,266500,3.5,0.4876,266500,180,NOT_NEG,NOT_INT,NOT_LPSM,518000,SB,PR,HOME,7260,CIB,681,EXP,45-54,NOT_INST,51.45,CENTRAL,0,29
61604,NCF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,476500,3.99,0.3904,476500,360,NEG_AMM,NOT_INT,NOT_LPSM,558000,SB,PR,HOME,6240,CRIF,857,EXP,25-34,NOT_INST,85.39,SOUTH,1,40
71643,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,226500,4.99,0.5868,226500,360,NOT_NEG,NOT_INT,NOT_LPSM,558000,SB,PR,HOME,3300,EXP,837,EXP,55-64,TO_INST,40.59,NORTH,0,32
74618,CF,FEMALE,NOPRE,L1,NOPC,B/C,146500,3.75,0.8585,146500,360,NOT_NEG,NOT_INT,NOT_LPSM,188000,SB,PR,HOME,1680,CIB,563,CIB,55-64,TO_INST,77.93,SOUTH,0,58
134326,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,126500,3.375,0.7228,126500,180,NOT_NEG,NOT_INT,NOT_LPSM,208000,SB,PR,HOME,5760,EXP,746,CIB,55-64,TO_INST,60.82,SOUTH,0,19
99360,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,446500,3.875,-0.2201,446500,360,NOT_NEG,NOT_INT,NOT_LPSM,628000,SB,PR,HOME,9360,CRIF,588,EXP,45-54,NOT_INST,71.10,NORTH,0,25
79393,CF,UNKNOWN,PRE,L1,NOPC,NOB/C,146500,3.99,0.3904,146500,360,NOT_NEG,NOT_INT,NOT_LPSM,358000,SB,PR,HOME,1680,CIB,774,CIB,55-64,TO_INST,40.92,SOUTH,1,18
56342,CF,MALE,NOPRE,L1,NOPC,NOB/C,166500,3.99,0.3904,166500,360,NOT_NEG,NOT_INT,NOT_LPSM,308000,SB,PR,HOME,4320,EXP,668,CIB,55-64,TO_INST,54.06,NORTH,1,24
147181,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,526500,3.875,0.2108,526500,360,NOT_NEG,NOT_INT,NOT_LPSM,618000,SB,PR,HOME,8100,CRIF,687,EXP,25-34,NOT_INST,85.19,SOUTH,0,28
168679,CF,MALE,NOPRE,L1,NOPC,NOB/C,436500,4.125,0.2785,436500,360,NOT_NEG,NOT_INT,LPSM,588000,SB,PR,HOME,4560,CIB,774,CIB,55-64,NOT_INST,74.23,NORTH,0,41
145511,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,126500,3.375,-0.3177,126500,360,NOT_NEG,NOT_INT,NOT_LPSM,138000,SB,PR,HOME,5760,EXP,663,EXP,65-74,TO_INST,91.67,SOUTH,0,39
169558,CF,MALE,NOPRE,L1,NOPC,B/C,286500,3.99,0.3904,286500,300,NOT_NEG,NOT_INT,NOT_LPSM,328000,SB,PR,HOME,5760,CRIF,767,CIB,35-44,TO_INST,87.35,NORTH,1,39
64876,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,246500,4.125,0.4732,246500,360,NOT_NEG,NOT_INT,NOT_LPSM,318000,SB,PR,HOME,6000,EXP,572,EXP,35-44,TO_INST,77.52,NORTH,0,49
87773,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,206500,3.5,-0.0146,206500,360,NOT_NEG,NOT_INT,NOT_LPSM,248000,SB,PR,HOME,5220,CRIF,638,EXP,65-74,TO_INST,83.27,CENTRAL,0,42
51289,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,446500,4.5,0.8366,446500,360,NOT_NEG,NOT_INT,NOT_LPSM,878000,SB,IR,HOME,12480,CIB,709,CIB,35-44,TO_INST,50.85,SOUTH,0,26
43760,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,446500,3.625,-0.0913,446500,360,NOT_NEG,NOT_INT,NOT_LPSM,448000,SB,PR,HOME,11160,CIB,865,EXP,35-44,TO_INST,99.67,NORTH,0,50
123169,CF,MALE,NOPRE,L1,NOPC,NOB/C,316500,3.875,0.5344,316500,360,NOT_NEG,NOT_INT,NOT_LPSM,358000,SB,PR,HOME,3540,CIB,724,CIB,45-54,NOT_INST,88.41,NORTH,0,41
148547,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,416500,4,0.257,416500,360,NOT_NEG,NOT_INT,NOT_LPSM,498000,SB,PR,HOME,6900,CIB,524,EXP,35-44,NOT_INST,83.63,NORTH,0,47
60575,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,176500,3.99,0.3904,176500,360,NOT_NEG,NOT_INT,NOT_LPSM,228000,SB,PR,HOME,1380,CRIF,723,CIB,65-74,TO_INST,77.41,SOUTH,1,56
110978,CF,MALE,NOPRE,L2,NOPC,NOB/C,126500,4.875,0.8318,126500,360,NOT_NEG,NOT_INT,NOT_LPSM,258000,SB,PR,HOME,6060,CRIF,558,CIB,45-54,TO_INST,49.03,NORTH,0,25
55560,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,426500,3.875,0.2973,426500,360,NOT_NEG,NOT_INT,NOT_LPSM,578000,SB,PR,HOME,4080,EXP,615,EXP,65-74,NOT_INST,73.79,NORTH,0,41
96935,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,346500,3.75,0.4501,346500,360,NEG_AMM,NOT_INT,NOT_LPSM,368000,SB,PR,HOME,4740,EXP,753,CIB,<25,NOT_INST,94.16,NORTH,0,38
119497,CF,UNKNOWN,PRE,L1,NOPC,NOB/C,156500,3.99,0.3904,156500,360,NOT_NEG,NOT_INT,NOT_LPSM,208000,SB,PR,HOME,10260,EXP,733,EXP,65-74,TO_INST,75.24,NORTH,1,20
31922,CF,MALE,NOPRE,L1,NOPC,B/C,186500,4.375,1.4311,186500,360,NOT_NEG,NOT_INT,NOT_LPSM,198000,SB,PR,HOME,8700,CIB,829,CIB,35-44,TO_INST,94.19,NORTH,0,43
58965,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,406500,3.75,0.6611,406500,240,NOT_NEG,NOT_INT,NOT_LPSM,518000,SB,PR,HOME,6900,EXP,584,EXP,35-44,NOT_INST,78.47,NORTH,0,38
72248,CF,FEMALE,NOPRE,L1,NOPC,NOB/C,316500,4.5,0.882,316500,360,NOT_NEG,NOT_INT,NOT_LPSM,318000,SB,PR,HOME,5760,EXP,709,EXP,35-44,TO_INST,99.53,NORTH,0,39
141342,CF,MALE,PRE,L1,NOPC,NOB/C,456500,3.75,0.2671,456500,180,NOT_NEG,NOT_INT,NOT_LPSM,508000,SB,PR,HOME,5760,CIB,615,CIB,45-54,NOT_INST,89.86,NORTH,0,39
142938,CF,UNKNOWN,NOPRE,L1,NOPC,NOB/C,296500,3.125,-0.613,296500,360,NOT_NEG,NOT_INT,NOT_LPSM,468000,SB,PR,HOME,7320,CIB,677,EXP,35-44,NOT_INST,63.35,CENTRAL,0,37
47106,CF,MALE,NOPRE,L1,NOPC,NOB/C,286500,4.99,0.7408,286500,360,NEG_AMM,NOT_INT,NOT_LPSM,378000,SB,PR,HOME,4920,EXP,668,CIB,25-34,TO_INST,75.79,SOUTH,0,42
136210,CF,MALE,NOPRE,L1,NOPC,NOB/C,216500,3.99,0.3904,216500,360,NOT_NEG,NOT_INT,NOT_LPSM,418000,SB,PR,HOME,1860,EQUI,544,EXP,25-34,TO_INST,75.15,NORTH,1,39
